"date","tmin","tmax","rain","year","month","day","wy"
"65",12/04/41,-2.33122181352,9.24500508,0,1941,12,4,1942
"66",12/05/41,1.36289666463,9.24500508,0,1941,12,5,1942
"67",12/06/41,2.47446024274,12.36586508,0,1941,12,6,1942
"68",12/07/41,3.21328393837,13.75152692,0,1941,12,7,1942
"69",12/08/41,3.21328393837,13.75152692,0,1941,12,8,1942
"70",12/09/41,3.57936775152,13.40823232,0,1941,12,9,1942
"71",12/10/41,1.73563654711,11.67303416,3.87,1941,12,10,1942
"72",12/11/41,0.624072969,9.24500508,0,1941,12,11,1942
"73",12/12/41,0.624072969,8.55217416,0,1941,12,12,1942
"74",12/13/41,-0.11475072663,7.50980692,7.74,1941,12,13,1942
"75",12/14/41,2.84054405589,9.58829968,20.64,1941,12,14,1942
"76",12/15/41,3.21328393837,8.55217416,20.64,1941,12,15,1942
"77",12/16/41,3.21328393837,8.20263784,29.67,1941,12,16,1942
"78",12/17/41,-0.48749060911,6.12414508,0,1941,12,17,1942
"79",12/18/41,0.25133308652,8.20263784,0,1941,12,18,1942
"80",12/19/41,2.84054405589,12.01632876,0,1941,12,19,1942
"81",12/20/41,0.99681285148,11.67303416,11.61,1941,12,20,1942
"82",12/21/41,-2.33122181352,11.32349784,6.45,1941,12,21,1942
"83",12/22/41,-1.22631430474,10.63066692,0,1941,12,22,1942
"84",12/23/41,-0.48749060911,5.08177784,12.9,1941,12,23,1942
"85",12/24/41,-5.65925647852,1.61762324,0,1941,12,24,1942
"86",12/25/41,-4.92043278289,1.96091784,9.03,1941,12,25,1942
"87",12/26/41,-2.703961696,1.61762324,37.41,1941,12,26,1942
"88",12/27/41,-4.55434896974,3.696116,38.7,1941,12,27,1942
"89",12/28/41,0.25133308652,4.38894692,56.76,1941,12,28,1942
"90",12/29/41,1.73563654711,4.04565232,108.36,1941,12,29,1942
"91",12/30/41,0.624072969,3.696116,81.27,1941,12,30,1942
"92",12/31/41,-1.96513800037,3.34657968,100.62,1941,12,31,1942
"93",01/01/42,-5.65925647852,0.575256,32.25,1942,1,1,1942
"94",01/02/42,-5.65925647852,3.34657968,0,1942,1,2,1942
"95",01/03/42,-2.703961696,3.00328508,0,1942,1,3,1942
"96",01/04/42,-2.703961696,4.04565232,0,1942,1,4,1942
"97",01/05/42,-2.33122181352,5.08177784,0,1942,1,5,1942
"98",01/06/42,-1.22631430474,6.12414508,0,1942,1,6,1942
"99",01/07/42,2.47446024274,7.85934324,0,1942,1,7,1942
"100",01/08/42,2.84054405589,7.85934324,0,1942,1,8,1942
"101",01/09/42,2.10172036026,10.98020324,0,1942,1,9,1942
"102",01/10/42,2.84054405589,11.67303416,0,1942,1,10,1942
"103",01/11/42,3.21328393837,12.36586508,0,1942,1,11,1942
"104",01/12/42,2.84054405589,11.32349784,0,1942,1,12,1942
"105",01/13/42,2.47446024274,10.63066692,0,1942,1,13,1942
"106",01/14/42,3.21328393837,11.32349784,0,1942,1,14,1942
"107",01/15/42,2.10172036026,9.937836,0,1942,1,15,1942
"108",01/16/42,0.25133308652,8.20263784,0,1942,1,16,1942
"109",01/17/42,-0.48749060911,9.24500508,0,1942,1,17,1942
"110",01/18/42,0.624072969,9.24500508,0,1942,1,18,1942
"111",01/19/42,0.25133308652,10.63066692,0,1942,1,19,1942
"112",01/20/42,0.624072969,10.63066692,0,1942,1,20,1942
"113",01/21/42,1.73563654711,8.55217416,0,1942,1,21,1942
"114",01/22/42,1.73563654711,7.16651232,73.53,1942,1,22,1942
"115",01/23/42,-0.85357442226,4.04565232,9.03,1942,1,23,1942
"116",01/24/42,2.84054405589,5.08177784,1.29,1942,1,24,1942
"117",01/25/42,3.21328393837,8.89546876,16.77,1942,1,25,1942
"118",01/26/42,3.21328393837,10.28737232,24.51,1942,1,26,1942
"119",01/27/42,3.57936775152,9.58829968,23.22,1942,1,27,1942
"120",01/28/42,-0.85357442226,4.38894692,0,1942,1,28,1942
"121",01/29/42,-0.48749060911,6.12414508,0,1942,1,29,1942
"122",01/30/42,1.36289666463,6.12414508,5.16,1942,1,30,1942
"123",01/31/42,-0.11475072663,5.77460876,0,1942,1,31,1942
"124",02/01/42,2.10172036026,7.50980692,0,1942,2,1,1942
"125",02/02/42,2.84054405589,8.20263784,19.35,1942,2,2,1942
"126",02/03/42,2.84054405589,7.16651232,25.8,1942,2,3,1942
"127",02/04/42,2.47446024274,4.38894692,7.74,1942,2,4,1942
"128",02/05/42,2.84054405589,5.43131416,43.86,1942,2,5,1942
"129",02/06/42,2.47446024274,5.77460876,6.45,1942,2,6,1942
"130",02/07/42,2.47446024274,5.08177784,7.74,1942,2,7,1942
"131",02/08/42,-2.703961696,6.12414508,0,1942,2,8,1942
"132",02/09/42,-1.96513800037,7.16651232,0,1942,2,9,1942
"133",02/10/42,-0.48749060911,7.16651232,0,1942,2,10,1942
"134",02/11/42,-1.22631430474,7.50980692,0,1942,2,11,1942
"135",02/12/42,-1.96513800037,4.73848324,39.99,1942,2,12,1942
"136",02/13/42,-4.18160908726,3.00328508,9.03,1942,2,13,1942
"137",02/14/42,-5.65925647852,1.61762324,0,1942,2,14,1942
"138",02/15/42,-5.65925647852,3.00328508,0,1942,2,15,1942
"139",02/16/42,-5.29317266537,6.46743968,0,1942,2,16,1942
"140",02/17/42,-3.44278539163,5.77460876,0,1942,2,17,1942
"141",02/18/42,-2.33122181352,6.12414508,0,1942,2,18,1942
"142",02/19/42,-1.22631430474,6.46743968,0,1942,2,19,1942
"143",02/20/42,-0.48749060911,7.16651232,0,1942,2,20,1942
"144",02/21/42,0.25133308652,6.46743968,3.87,1942,2,21,1942
"145",02/22/42,-3.81552527411,3.00328508,70.95,1942,2,22,1942
"146",02/23/42,-3.81552527411,6.12414508,0,1942,2,23,1942
"147",02/24/42,-4.55434896974,5.08177784,0,1942,2,24,1942
"148",02/25/42,-6.031996361,4.38894692,7.74,1942,2,25,1942
"149",02/26/42,-2.33122181352,6.816976,0,1942,2,26,1942
"150",02/27/42,-2.703961696,6.12414508,0,1942,2,27,1942
"151",02/28/42,-4.18160908726,7.16651232,0,1942,2,28,1942
"152",03/01/42,-0.48749060911,10.28737232,0,1942,3,1,1942
"153",03/02/42,1.36289666463,9.24500508,0,1942,3,2,1942
"154",03/03/42,0.624072969,10.28737232,0,1942,3,3,1942
"155",03/04/42,1.36289666463,11.67303416,0,1942,3,4,1942
"156",03/05/42,1.73563654711,12.01632876,0,1942,3,5,1942
"157",03/06/42,0.624072969,9.58829968,0,1942,3,6,1942
"158",03/07/42,0.99681285148,10.98020324,0,1942,3,7,1942
"159",03/08/42,1.73563654711,10.63066692,0,1942,3,8,1942
"160",03/09/42,1.73563654711,10.28737232,0,1942,3,9,1942
"161",03/10/42,2.84054405589,9.58829968,0,1942,3,10,1942
"162",03/11/42,2.84054405589,6.816976,95.46,1942,3,11,1942
"163",03/12/42,2.47446024274,5.77460876,25.8,1942,3,12,1942
"164",03/13/42,-1.22631430474,3.00328508,36.12,1942,3,13,1942
"165",03/14/42,-4.55434896974,2.31045416,27.09,1942,3,14,1942
"166",03/15/42,-4.92043278289,4.04565232,7.74,1942,3,15,1942
"167",03/16/42,-3.07670157848,6.12414508,1.29,1942,3,16,1942
"168",03/17/42,-0.48749060911,8.55217416,0,1942,3,17,1942
"169",03/18/42,0.25133308652,7.85934324,0,1942,3,18,1942
"170",03/19/42,2.84054405589,6.12414508,0,1942,3,19,1942
"171",03/20/42,-1.96513800037,7.50980692,0,1942,3,20,1942
"172",03/21/42,-0.48749060911,9.24500508,0,1942,3,21,1942
"173",03/22/42,-0.48749060911,8.55217416,0,1942,3,22,1942
"174",03/23/42,-0.85357442226,6.46743968,0,1942,3,23,1942
"175",03/24/42,0.25133308652,5.43131416,5.16,1942,3,24,1942
"176",03/25/42,-3.44278539163,4.73848324,0,1942,3,25,1942
"177",03/26/42,-3.81552527411,6.816976,1.29,1942,3,26,1942
"178",03/27/42,-1.59239811789,8.89546876,0,1942,3,27,1942
"179",03/28/42,0.25133308652,10.28737232,0,1942,3,28,1942
"180",03/29/42,1.36289666463,11.67303416,0,1942,3,29,1942
"181",03/30/42,2.47446024274,13.058696,0,1942,3,30,1942
"182",03/31/42,3.21328393837,11.67303416,0,1942,3,31,1942
"183",04/01/42,0.99681285148,8.20263784,0,1942,4,1,1942
"184",04/02/42,2.47446024274,13.40823232,0,1942,4,2,1942
"185",04/03/42,4.32484751648,11.67303416,18.06,1942,4,3,1942
"186",04/04/42,2.10172036026,9.937836,87.72,1942,4,4,1942
"187",04/05/42,2.47446024274,5.77460876,14.19,1942,4,5,1942
"188",04/06/42,2.84054405589,7.16651232,7.74,1942,4,6,1942
"189",04/07/42,0.99681285148,9.58829968,0,1942,4,7,1942
"190",04/08/42,2.47446024274,10.28737232,0,1942,4,8,1942
"191",04/09/42,3.57936775152,10.98020324,0,1942,4,9,1942
"192",04/10/42,3.952107634,7.50980692,33.54,1942,4,10,1942
"193",04/11/42,2.84054405589,9.937836,0,1942,4,11,1942
"194",04/12/42,3.21328393837,11.32349784,0,1942,4,12,1942
"195",04/13/42,3.57936775152,10.98020324,0,1942,4,13,1942
"196",04/14/42,1.73563654711,8.20263784,82.56,1942,4,14,1942
"197",04/15/42,0.624072969,10.63066692,0,1942,4,15,1942
"198",04/16/42,3.57936775152,9.937836,0,1942,4,16,1942
"199",04/17/42,-0.85357442226,7.16651232,30.96,1942,4,17,1942
"200",04/18/42,0.624072969,11.32349784,0,1942,4,18,1942
"201",04/19/42,3.57936775152,14.10106324,0,1942,4,19,1942
"202",04/20/42,4.69093132963,13.40823232,0,1942,4,20,1942
"203",04/21/42,4.69093132963,12.01632876,0,1942,4,21,1942
"204",04/22/42,3.21328393837,9.937836,1.29,1942,4,22,1942
"205",04/23/42,0.99681285148,6.816976,7.74,1942,4,23,1942
"206",04/24/42,0.99681285148,9.58829968,0,1942,4,24,1942
"207",04/25/42,1.36289666463,8.55217416,0,1942,4,25,1942
"208",04/26/42,0.99681285148,8.20263784,0,1942,4,26,1942
"209",04/27/42,1.73563654711,8.20263784,9.03,1942,4,27,1942
"210",04/28/42,-0.85357442226,6.12414508,38.7,1942,4,28,1942
"211",04/29/42,-3.81552527411,5.08177784,10.32,1942,4,29,1942
"212",04/30/42,-3.07670157848,7.85934324,0,1942,4,30,1942
"213",05/01/42,2.10172036026,6.46743968,24.51,1942,5,1,1942
"214",05/02/42,0.25133308652,8.55217416,0,1942,5,2,1942
"215",05/03/42,2.10172036026,10.63066692,0,1942,5,3,1942
"216",05/04/42,1.73563654711,11.32349784,0,1942,5,4,1942
"217",05/05/42,3.57936775152,14.10106324,0,1942,5,5,1942
"218",05/06/42,3.952107634,15.83001968,0,1942,5,6,1942
"219",05/07/42,4.69093132963,13.40823232,0,1942,5,7,1942
"220",05/08/42,3.952107634,14.10106324,0,1942,5,8,1942
"221",05/09/42,3.952107634,14.10106324,0,1942,5,9,1942
"222",05/10/42,2.47446024274,11.32349784,0,1942,5,10,1942
"223",05/11/42,0.624072969,10.63066692,18.06,1942,5,11,1942
"224",05/12/42,1.73563654711,5.43131416,0,1942,5,12,1942
"225",05/13/42,0.624072969,7.85934324,2.58,1942,5,13,1942
"226",05/14/42,2.47446024274,10.28737232,0,1942,5,14,1942
"227",05/15/42,3.21328393837,9.24500508,18.06,1942,5,15,1942
"228",05/16/42,1.73563654711,7.50980692,0,1942,5,16,1942
"229",05/17/42,2.47446024274,11.67303416,0,1942,5,17,1942
"230",05/18/42,3.21328393837,14.10106324,0,1942,5,18,1942
"231",05/19/42,4.32484751648,12.36586508,0,1942,5,19,1942
"232",05/20/42,4.69093132963,14.44435784,0,1942,5,20,1942
"233",05/21/42,7.280142299,17.56521784,0,1942,5,21,1942
"234",05/22/42,5.42975502526,15.83001968,0,1942,5,22,1942
"235",05/23/42,3.952107634,13.058696,0,1942,5,23,1942
"236",05/24/42,5.42975502526,14.10106324,0,1942,5,24,1942
"237",05/25/42,4.69093132963,13.058696,2.58,1942,5,25,1942
"238",05/26/42,2.84054405589,8.89546876,23.22,1942,5,26,1942
"239",05/27/42,2.84054405589,12.36586508,0,1942,5,27,1942
"240",05/28/42,3.21328393837,12.36586508,0,1942,5,28,1942
"241",05/29/42,2.10172036026,8.89546876,0,1942,5,29,1942
"242",05/30/42,2.84054405589,12.01632876,0,1942,5,30,1942
"243",05/31/42,2.84054405589,13.40823232,0,1942,5,31,1942
"244",06/01/42,5.06367121211,13.40823232,0,1942,6,1,1942
"245",06/02/42,5.06367121211,11.67303416,0,1942,6,2,1942
"246",06/03/42,3.952107634,12.36586508,0,1942,6,3,1942
"247",06/04/42,6.16857872089,15.83001968,0,1942,6,4,1942
"248",06/05/42,8.01896599463,16.179556,0,1942,6,5,1942
"249",06/06/42,7.280142299,15.83001968,0,1942,6,6,1942
"250",06/07/42,4.32484751648,9.937836,0,1942,6,7,1942
"251",06/08/42,5.15685618273,9.58829968,0,1942,6,8,1942
"252",06/09/42,5.98886484898,11.14872968,0,1942,6,9,1942
"253",06/10/42,6.82087351523,12.70915968,0,1942,6,10,1942
"254",06/11/42,7.65288218148,14.26958968,0,1942,6,11,1942
"255",06/12/42,7.65288218148,15.83001968,0,1942,6,12,1942
"256",06/13/42,7.65288218148,17.56521784,0,1942,6,13,1942
"257",06/14/42,8.39170587711,17.22192324,0,1942,6,14,1942
"258",06/15/42,9.13052957274,19.99324692,0,1942,6,15,1942
"259",06/16/42,8.75778969026,20.68607784,0,1942,6,16,1942
"260",06/17/42,8.75778969026,19.99324692,0,1942,6,17,1942
"261",06/18/42,7.280142299,20.34278324,0,1942,6,18,1942
"262",06/19/42,8.39170587711,19.99324692,0,1942,6,19,1942
"263",06/20/42,6.90740241652,16.87238692,0,1942,6,20,1942
"264",06/21/42,7.280142299,18.60758508,0,1942,6,21,1942
"265",06/22/42,9.49661338589,18.95087968,0,1942,6,22,1942
"266",06/23/42,9.49661338589,18.95087968,0,1942,6,23,1942
"267",06/24/42,8.75778969026,17.56521784,0,1942,6,24,1942
"268",06/25/42,8.01896599463,16.179556,0,1942,6,25,1942
"269",06/26/42,4.69093132963,13.40823232,0,1942,6,26,1942
"270",06/27/42,5.06367121211,15.13718876,0,1942,6,27,1942
"271",06/28/42,8.75778969026,17.56521784,0,1942,6,28,1942
"272",06/29/42,11.71974054211,21.03561416,0,1942,6,29,1942
"273",06/30/42,11.71974054211,21.03561416,0,1942,6,30,1942
"274",07/01/42,12.45856423774,21.72844508,0,1942,7,1,1942
"275",07/02/42,12.45856423774,22.07173968,0,1942,7,2,1942
"276",07/03/42,12.45856423774,22.421276,0,1942,7,3,1942
"277",07/04/42,13.56347174652,22.07173968,0,1942,7,4,1942
"278",07/05/42,12.45856423774,21.37890876,0,1942,7,5,1942
"279",07/06/42,11.71974054211,21.03561416,0,1942,7,6,1942
"280",07/07/42,11.71974054211,20.34278324,0,1942,7,7,1942
"281",07/08/42,10.98091684648,20.34278324,0,1942,7,8,1942
"282",07/09/42,15.78659890274,19.64995232,0,1942,7,9,1942
"283",07/10/42,10.23543708152,17.91475416,0,1942,7,10,1942
"284",07/11/42,9.49661338589,17.91475416,0,1942,7,11,1942
"285",07/12/42,9.13052957274,19.300416,0,1942,7,12,1942
"286",07/13/42,11.34700065963,19.300416,0,1942,7,13,1942
"287",07/14/42,11.34700065963,19.99324692,0,1942,7,14,1942
"288",07/15/42,10.98091684648,18.95087968,0,1942,7,15,1942
"289",07/16/42,9.49661338589,16.87238692,0,1942,7,16,1942
"290",07/17/42,8.75778969026,16.87238692,0,1942,7,17,1942
"291",07/18/42,8.75778969026,18.60758508,0,1942,7,18,1942
"292",07/19/42,10.23543708152,19.64995232,0,1942,7,19,1942
"293",07/20/42,10.98091684648,20.34278324,0,1942,7,20,1942
"294",07/21/42,12.08582435526,21.03561416,0,1942,7,21,1942
"295",07/22/42,13.936211629,22.77081232,0,1942,7,22,1942
"296",07/23/42,14.67503532463,23.80693784,0,1942,7,23,1942
"297",07/24/42,15.04777520711,23.11410692,0,1942,7,24,1942
"298",07/25/42,13.936211629,22.421276,0,1942,7,25,1942
"299",07/26/42,11.34700065963,21.37890876,0,1942,7,26,1942
"300",07/27/42,12.45856423774,23.46364324,0,1942,7,27,1942
"301",07/28/42,12.45856423774,19.64995232,0,1942,7,28,1942
"302",07/29/42,10.608176964,18.60758508,0,1942,7,29,1942
"303",07/30/42,9.86935326837,19.99324692,0,1942,7,30,1942
"304",07/31/42,9.86935326837,18.60758508,0,1942,7,31,1942
"305",08/01/42,8.75778969026,18.25804876,0,1942,8,1,1942
"306",08/02/42,9.13052957274,19.64995232,0,1942,8,2,1942
"307",08/03/42,9.49661338589,21.37890876,0,1942,8,3,1942
"308",08/04/42,8.75778969026,20.68607784,0,1942,8,4,1942
"309",08/05/42,12.08582435526,20.68607784,0,1942,8,5,1942
"310",08/06/42,11.71974054211,20.68607784,0,1942,8,6,1942
"311",08/07/42,11.71974054211,21.03561416,0,1942,8,7,1942
"312",08/08/42,9.13052957274,22.421276,0,1942,8,8,1942
"313",08/09/42,13.19738793337,21.37890876,0,1942,8,9,1942
"314",08/10/42,11.71974054211,17.22192324,0,1942,8,10,1942
"315",08/11/42,10.23543708152,17.91475416,0,1942,8,11,1942
"316",08/12/42,10.98091684648,19.300416,0,1942,8,12,1942
"317",08/13/42,13.936211629,19.99324692,0,1942,8,13,1942
"318",08/14/42,11.71974054211,19.99324692,0,1942,8,14,1942
"319",08/15/42,12.08582435526,21.03561416,0,1942,8,15,1942
"320",08/16/42,12.45856423774,21.03561416,0,1942,8,16,1942
"321",08/17/42,13.19738793337,21.03561416,0,1942,8,17,1942
"322",08/18/42,12.45856423774,21.72844508,0,1942,8,18,1942
"323",08/19/42,12.08582435526,20.34278324,0,1942,8,19,1942
"324",08/20/42,10.98091684648,19.64995232,0,1942,8,20,1942
"325",08/21/42,10.23543708152,19.99324692,0,1942,8,21,1942
"326",08/22/42,12.08582435526,21.37890876,0,1942,8,22,1942
"327",08/23/42,12.82464805089,21.03561416,0,1942,8,23,1942
"328",08/24/42,11.71974054211,19.300416,0,1942,8,24,1942
"329",08/25/42,9.13052957274,17.56521784,0,1942,8,25,1942
"330",08/26/42,7.65288218148,16.52909232,0,1942,8,26,1942
"331",08/27/42,6.90740241652,15.13718876,0,1942,8,27,1942
"332",08/28/42,5.42975502526,13.75152692,0,1942,8,28,1942
"333",08/29/42,4.69093132963,13.40823232,0,1942,8,29,1942
"334",08/30/42,6.90740241652,16.52909232,0,1942,8,30,1942
"335",08/31/42,9.13052957274,17.56521784,0,1942,8,31,1942
"336",09/01/42,9.86935326837,17.56521784,0,1942,9,1,1942
"337",09/02/42,7.65288218148,16.87238692,0,1942,9,2,1942
"338",09/03/42,8.75778969026,16.179556,0,1942,9,3,1942
"339",09/04/42,8.75778969026,16.87238692,0,1942,9,4,1942
"340",09/05/42,7.280142299,16.87238692,0,1942,9,5,1942
"341",09/06/42,8.39170587711,17.91475416,0,1942,9,6,1942
"342",09/07/42,9.49661338589,20.34278324,0,1942,9,7,1942
"343",09/08/42,8.01896599463,16.87238692,0,1942,9,8,1942
"344",09/09/42,4.32484751648,12.36586508,0,1942,9,9,1942
"345",09/10/42,6.16857872089,12.01632876,0,1942,9,10,1942
"346",09/11/42,5.42975502526,14.44435784,0,1942,9,11,1942
"347",09/12/42,7.280142299,16.87238692,0,1942,9,12,1942
"348",09/13/42,8.75778969026,17.56521784,0,1942,9,13,1942
"349",09/14/42,9.13052957274,18.60758508,0,1942,9,14,1942
"350",09/15/42,10.23543708152,19.99324692,0,1942,9,15,1942
"351",09/16/42,10.98091684648,19.300416,0,1942,9,16,1942
"352",09/17/42,9.86935326837,18.95087968,0,1942,9,17,1942
"353",09/18/42,8.01896599463,18.60758508,0,1942,9,18,1942
"354",09/19/42,8.75778969026,16.87238692,0,1942,9,19,1942
"355",09/20/42,8.01896599463,17.4507863044,0,1942,9,20,1942
"356",09/21/42,8.574747783685,18.0291856956,0,1942,9,21,1942
"357",09/22/42,9.13052957274,18.60758508,0,1942,9,22,1942
"358",09/23/42,10.23543708152,18.95087968,0,1942,9,23,1942
"359",09/24/42,13.56347174652,18.95087968,0,1942,9,24,1942
"360",09/25/42,9.13052957274,18.60758508,0,1942,9,25,1942
"361",09/26/42,10.23543708152,18.95087968,0,1942,9,26,1942
"362",09/27/42,9.13052957274,16.87238692,0,1942,9,27,1942
"363",09/28/42,7.280142299,14.44435784,0,1942,9,28,1942
"364",09/29/42,6.54131860337,14.44435784,0,1942,9,29,1942
"365",09/30/42,7.65288218148,17.22192324,0,1942,9,30,1942
"366",10/01/42,9.86935326837,16.179556,0,1942,10,1,1943
"367",10/02/42,6.90740241652,16.52909232,0,1942,10,2,1943
"368",10/03/42,9.13052957274,16.87238692,0,1942,10,3,1943
"369",10/04/42,8.39170587711,18.60758508,0,1942,10,4,1943
"370",10/05/42,10.23543708152,18.95087968,0,1942,10,5,1943
"371",10/06/42,10.608176964,18.25804876,0,1942,10,6,1943
"372",10/07/42,9.49661338589,16.87238692,0,1942,10,7,1943
"373",10/08/42,9.86935326837,17.22192324,0,1942,10,8,1943
"374",10/09/42,14.67503532463,16.52909232,0,1942,10,9,1943
"375",10/10/42,3.57936775152,14.44435784,0,1942,10,10,1943
"376",10/11/42,6.54131860337,10.98020324,2.58,1942,10,11,1943
"377",10/12/42,3.57936775152,8.55217416,0,1942,10,12,1943
"378",10/13/42,1.73563654711,9.58829968,0,1942,10,13,1943
"379",10/14/42,3.952107634,13.058696,0,1942,10,14,1943
"380",10/15/42,5.80249490774,11.67303416,0,1942,10,15,1943
"381",10/16/42,6.54131860337,13.75152692,0,1942,10,16,1943
"382",10/17/42,5.80249490774,13.75152692,0,1942,10,17,1943
"383",10/18/42,5.925632190345,14.3871420756,0,1942,10,18,1943
"384",10/19/42,6.04876947295,15.0227572244,0,1942,10,19,1943
"385",10/20/42,6.171906755555,15.65837238,0,1942,10,20,1943
"386",10/21/42,6.29504403816,16.2939875356,0,1942,10,21,1943
"387",10/22/42,6.418181320765,16.9296026844,0,1942,10,22,1943
"388",10/23/42,6.54131860337,17.56521784,0,1942,10,23,1943
"389",10/24/42,3.952107634,14.79389416,0,1942,10,24,1943
"390",10/25/42,5.42975502526,15.83001968,0,1942,10,25,1943
"391",10/26/42,5.42975502526,14.79389416,0,1942,10,26,1943
"392",10/27/42,3.952107634,12.01632876,0,1942,10,27,1943
"393",10/28/42,1.36289666463,7.85934324,0,1942,10,28,1943
"394",10/29/42,0.25133308652,7.50980692,0,1942,10,29,1943
"395",10/30/42,1.73563654711,10.63066692,0,1942,10,30,1943
"396",10/31/42,2.84054405589,12.70915968,0,1942,10,31,1943
"397",11/01/42,5.06367121211,15.13718876,0,1942,11,1,1943
"398",11/02/42,6.16857872089,15.83001968,0,1942,11,2,1943
"399",11/03/42,4.32484751648,12.01632876,14.19,1942,11,3,1943
"400",11/04/42,-0.48749060911,7.85934324,0,1942,11,4,1943
"401",11/05/42,0.624072969,6.816976,0,1942,11,5,1943
"402",11/06/42,0.99681285148,11.67303416,0,1942,11,6,1943
"403",11/07/42,2.47446024274,12.70915968,0,1942,11,7,1943
"404",11/08/42,3.21328393837,12.01632876,0,1942,11,8,1943
"405",11/09/42,2.84054405589,13.75152692,0,1942,11,9,1943
"406",11/10/42,3.952107634,13.40823232,0,1942,11,10,1943
