year,month,date,site,transect,QUAD,SIDE,SP_CODE,SIZE,COUNT,AREA,VIS,OBS_CODE,SURVEY_TIMING,NOTES,TAXON_GENUS,TAXON_SPECIES,GROUP,SURVEY,TAXON_KINGDOM,TAXON_PHYLUM,TAXON_CLASS,TAXON_ORDER,TAXON_FAMILY,TAXON_FORMER_GENUS,TAXON_FORMER_SPECIES,COMMON_NAME,Substrate_type,Mobility,Growth_morph
2001,8,8/22/01,ABUR,1,40,-99999,OPIC,14,1,20,-99999,6,A,-99999,Oxylebius,pictus,FISH,CRYPTIC FISH,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,-99999,-99999,Painted Greenling,HARD,MOBILE,SOLITARY
2001,8,8/22/01,ABUR,1,40,-99999,OPIC,19,1,20,-99999,6,A,-99999,Oxylebius,pictus,FISH,CRYPTIC FISH,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,-99999,-99999,Painted Greenling,HARD,MOBILE,SOLITARY
2001,8,8/22/01,ABUR,1,-99999,-99999,PNEB,25,1,80,3,3,A,-99999,Paralabrax,nebulifer,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,-99999,-99999,Barred Sandbass,HARD,MOBILE,SOLITARY
2002,7,7/12/02,ABUR,1,-99999,-99999,-9999,-99999,-99999,80,-99999,3,S,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
2002,9,9/10/02,ABUR,1,-99999,-99999,-9999,-99999,-99999,80,-99999,3,S,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
2002,11,11/21/02,ABUR,1,-99999,-99999,-9999,-99999,-99999,80,-99999,3,S,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
2002,12,12/9/02,ABUR,1,-99999,-99999,-9999,-99999,-99999,80,-99999,3,S,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
2002,8,8/9/02,ABUR,1,-99999,-99999,BFRE,4,1,80,3,2,S,-99999,Brachyistius,frenatus,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,-99999,-99999,Kelp Surfperch,HARD,MOBILE,SOLITARY
2002,8,8/20/02,ABUR,1,-99999,-99999,BFRE,8,7,80,3,3,A,-99999,Brachyistius,frenatus,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,-99999,-99999,Kelp Surfperch,HARD,MOBILE,SOLITARY
2002,8,8/20/02,ABUR,1,20,I,CSTI,6,1,20,-99999,2,A,-99999,Citharichthys,stigmaeus,FISH,CRYPTIC FISH,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,-99999,-99999,Speckled Sanddab,SOFT,MOBILE,SOLITARY
2002,8,8/20/02,ABUR,1,20,I,CSTI,10,1,20,-99999,2,A,-99999,Citharichthys,stigmaeus,FISH,CRYPTIC FISH,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,-99999,-99999,Speckled Sanddab,SOFT,MOBILE,SOLITARY
2002,8,8/20/02,ABUR,1,20,I,CSTI,13,1,20,-99999,2,A,-99999,Citharichthys,stigmaeus,FISH,CRYPTIC FISH,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,-99999,-99999,Speckled Sanddab,SOFT,MOBILE,SOLITARY
2002,8,8/20/02,ABUR,1,40,O,CSTI,7,1,20,-99999,2,A,-99999,Citharichthys,stigmaeus,FISH,CRYPTIC FISH,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,-99999,-99999,Speckled Sanddab,SOFT,MOBILE,SOLITARY
2002,8,8/9/02,ABUR,1,-99999,-99999,DVAC,15,1,80,3,2,S,-99999,Rhacochilus,vacca,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Damalichthys,vacca,Pile Surfperch,HARD,MOBILE,SOLITARY
2002,8,8/9/02,ABUR,1,-99999,-99999,DVAC,18,1,80,3,2,S,-99999,Rhacochilus,vacca,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Damalichthys,vacca,Pile Surfperch,HARD,MOBILE,SOLITARY
2002,8,8/9/02,ABUR,1,-99999,-99999,EJAC,10,1,80,3,2,S,-99999,Embiotoca,jacksoni,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,-99999,-99999,Black Surfperch,HARD,MOBILE,SOLITARY
2002,8,8/9/02,ABUR,1,-99999,-99999,EJAC,20,1,80,3,2,S,-99999,Embiotoca,jacksoni,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,-99999,-99999,Black Surfperch,HARD,MOBILE,SOLITARY
2002,8,8/20/02,ABUR,1,-99999,-99999,EJAC,15,2,80,3,3,A,-99999,Embiotoca,jacksoni,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,-99999,-99999,Black Surfperch,HARD,MOBILE,SOLITARY
2002,8,8/20/02,ABUR,1,-99999,-99999,EJAC,18,1,80,3,3,A,-99999,Embiotoca,jacksoni,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,-99999,-99999,Black Surfperch,HARD,MOBILE,SOLITARY
2002,10,10/11/02,ABUR,1,-99999,-99999,EJAC,5,1,80,3,2,S,-99999,Embiotoca,jacksoni,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,-99999,-99999,Black Surfperch,HARD,MOBILE,SOLITARY
2002,8,8/20/02,ABUR,1,-99999,-99999,HCAR,12,1,80,3,3,A,-99999,Hypsurus,caryi,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,-99999,-99999,Rainbow Surfperch,HARD,MOBILE,SOLITARY
2002,8,8/20/02,ABUR,1,20,O,NF,-99999,0,20,-99999,2,A,-99999,No fish,-99999,FISH,FISH,-99999,-99999,-99999,-99999,-99999,-99999,-99999,no fish present,-99999,-99999,-99999
2002,8,8/20/02,ABUR,1,40,I,NF,-99999,0,20,-99999,2,A,-99999,No fish,-99999,FISH,FISH,-99999,-99999,-99999,-99999,-99999,-99999,-99999,no fish present,-99999,-99999,-99999
2002,8,8/9/02,ABUR,1,-99999,-99999,PCLA,5,1,80,3,2,S,-99999,Paralabrax,clathratus,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,-99999,-99999,Kelp Bass,HARD,MOBILE,SOLITARY
2002,8,8/9/02,ABUR,1,-99999,-99999,PCLA,10,1,80,3,2,S,-99999,Paralabrax,clathratus,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,-99999,-99999,Kelp Bass,HARD,MOBILE,SOLITARY
2002,8,8/9/02,ABUR,1,-99999,-99999,PCLA,15,1,80,3,2,S,-99999,Paralabrax,clathratus,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,-99999,-99999,Kelp Bass,HARD,MOBILE,SOLITARY
2002,8,8/9/02,ABUR,1,-99999,-99999,PFUR,10,1,80,3,2,S,-99999,Phanerodon,furcatus,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,-99999,-99999,White Surfperch,HARD,MOBILE,SOLITARY
2002,10,10/11/02,ABUR,1,-99999,-99999,PFUR,14,1,80,3,2,S,-99999,Phanerodon,furcatus,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,-99999,-99999,White Surfperch,HARD,MOBILE,SOLITARY
2002,8,8/20/02,ABUR,1,-99999,-99999,SCSP,5,1,80,3,3,A,-99999,Sebastes,spp.,FISH,FISH,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,-99999,-99999,Young of Year Rockfish,HARD,MOBILE,SOLITARY
2002,8,8/9/02,ABUR,1,-99999,-99999,SSER,4,1,80,3,2,S,-99999,Sebastes,serranoides,FISH,FISH,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,-99999,-99999,Olive Rockfish,HARD,MOBILE,SOLITARY
2002,10,10/11/02,ABUR,1,-99999,-99999,SSER,4,1,80,3,2,S,-99999,Sebastes,serranoides,FISH,FISH,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,-99999,-99999,Olive Rockfish,HARD,MOBILE,SOLITARY
2003,1,1/16/03,ABUR,1,-99999,-99999,-9999,-99999,-99999,80,-99999,3,S,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
2003,2,2/18/03,ABUR,1,-99999,-99999,-9999,-99999,-99999,80,-99999,3,S,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
2003,4,4/10/03,ABUR,1,-99999,-99999,-9999,-99999,-99999,80,1,2,S,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
2003,7,7/8/03,ABUR,1,-99999,-99999,-9999,-99999,-99999,80,1,2,S,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
2003,8,8/27/03,ABUR,1,20,I,AHOL,11,1,20,-99999,2,A,-99999,Alloclinus,holderi,FISH,CRYPTIC FISH,Animalia,Chordata,Actinopterygii,Perciformes,Labrisomidae,-99999,-99999,Island Kelpfish,HARD,MOBILE,SOLITARY
2003,5,5/12/03,ABUR,1,-99999,-99999,BFRE,8,1,80,4,2,S,-99999,Brachyistius,frenatus,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,-99999,-99999,Kelp Surfperch,HARD,MOBILE,SOLITARY
2003,6,6/11/03,ABUR,1,-99999,-99999,BFRE,7,1,80,4,2,S,-99999,Brachyistius,frenatus,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,-99999,-99999,Kelp Surfperch,HARD,MOBILE,SOLITARY
2003,9,9/3/03,ABUR,1,-99999,-99999,BFRE,7,2,80,4,2,S,-99999,Brachyistius,frenatus,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,-99999,-99999,Kelp Surfperch,HARD,MOBILE,SOLITARY
2003,10,10/1/03,ABUR,1,-99999,-99999,BFRE,7,1,80,4.5,2,S,-99999,Brachyistius,frenatus,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,-99999,-99999,Kelp Surfperch,HARD,MOBILE,SOLITARY
2003,12,12/5/03,ABUR,1,-99999,-99999,BFRE,7,1,80,3,2,S,-99999,Brachyistius,frenatus,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,-99999,-99999,Kelp Surfperch,HARD,MOBILE,SOLITARY
2003,8,8/27/03,ABUR,1,-99999,-99999,CPUN,10,2,80,2,2,A,-99999,Chromis,punctipinnis,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,-99999,-99999,Blacksmith,HARD,MOBILE,SOLITARY
2003,8,8/27/03,ABUR,1,-99999,-99999,CPUN,12,1,80,2,2,A,-99999,Chromis,punctipinnis,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,-99999,-99999,Blacksmith,HARD,MOBILE,SOLITARY
2003,8,8/27/03,ABUR,1,-99999,-99999,CPUN,15,1,80,2,2,A,-99999,Chromis,punctipinnis,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,-99999,-99999,Blacksmith,HARD,MOBILE,SOLITARY
2003,8,8/27/03,ABUR,1,20,I,CSTI,4,2,20,-99999,2,A,-99999,Citharichthys,stigmaeus,FISH,CRYPTIC FISH,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,-99999,-99999,Speckled Sanddab,SOFT,MOBILE,SOLITARY
2003,8,8/27/03,ABUR,1,20,I,CSTI,7,2,20,-99999,2,A,-99999,Citharichthys,stigmaeus,FISH,CRYPTIC FISH,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,-99999,-99999,Speckled Sanddab,SOFT,MOBILE,SOLITARY
2003,8,8/27/03,ABUR,1,20,I,CSTI,9,1,20,-99999,2,A,-99999,Citharichthys,stigmaeus,FISH,CRYPTIC FISH,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,-99999,-99999,Speckled Sanddab,SOFT,MOBILE,SOLITARY
2003,8,8/27/03,ABUR,1,20,I,CSTI,14,1,20,-99999,2,A,-99999,Citharichthys,stigmaeus,FISH,CRYPTIC FISH,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,-99999,-99999,Speckled Sanddab,SOFT,MOBILE,SOLITARY
2003,8,8/27/03,ABUR,1,20,O,CSTI,7,2,20,-99999,2,A,-99999,Citharichthys,stigmaeus,FISH,CRYPTIC FISH,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,-99999,-99999,Speckled Sanddab,SOFT,MOBILE,SOLITARY
2003,8,8/27/03,ABUR,1,20,O,CSTI,10,1,20,-99999,2,A,-99999,Citharichthys,stigmaeus,FISH,CRYPTIC FISH,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,-99999,-99999,Speckled Sanddab,SOFT,MOBILE,SOLITARY
2003,8,8/27/03,ABUR,1,20,O,CSTI,14,1,20,-99999,2,A,-99999,Citharichthys,stigmaeus,FISH,CRYPTIC FISH,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,-99999,-99999,Speckled Sanddab,SOFT,MOBILE,SOLITARY
2003,8,8/27/03,ABUR,1,40,I,CSTI,7,1,20,-99999,2,A,-99999,Citharichthys,stigmaeus,FISH,CRYPTIC FISH,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,-99999,-99999,Speckled Sanddab,SOFT,MOBILE,SOLITARY
2003,8,8/27/03,ABUR,1,40,O,CSTI,6,1,20,-99999,2,A,-99999,Citharichthys,stigmaeus,FISH,CRYPTIC FISH,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,-99999,-99999,Speckled Sanddab,SOFT,MOBILE,SOLITARY
2003,9,9/3/03,ABUR,1,-99999,-99999,EJAC,12,1,80,4,2,S,-99999,Embiotoca,jacksoni,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,-99999,-99999,Black Surfperch,HARD,MOBILE,SOLITARY
2003,8,8/27/03,ABUR,1,-99999,-99999,GNIG,35,1,80,2,2,A,-99999,Girella,nigricans,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Kyphosidae,-99999,-99999,Opaleye,HARD,MOBILE,SOLITARY
2003,5,5/12/03,ABUR,1,-99999,-99999,OCAL,13,1,80,4,2,S,-99999,Oxyjulis,californica,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,-99999,-99999,Senorita,HARD,MOBILE,SOLITARY
2003,8,8/27/03,ABUR,1,-99999,-99999,OCAL,14,1,80,3,2,A,-99999,Oxyjulis,californica,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,-99999,-99999,Senorita,HARD,MOBILE,SOLITARY
2003,8,8/27/03,ABUR,1,-99999,-99999,OCAL,16,2,80,3,2,A,-99999,Oxyjulis,californica,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,-99999,-99999,Senorita,HARD,MOBILE,SOLITARY
2003,9,9/3/03,ABUR,1,-99999,-99999,OCAL,15,1,80,4,2,S,-99999,Oxyjulis,californica,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,-99999,-99999,Senorita,HARD,MOBILE,SOLITARY
2003,6,6/11/03,ABUR,1,-99999,-99999,PCLA,5,1,80,4,2,S,-99999,Paralabrax,clathratus,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,-99999,-99999,Kelp Bass,HARD,MOBILE,SOLITARY
2003,10,10/1/03,ABUR,1,-99999,-99999,PCLA,5,1,80,4.5,2,S,-99999,Paralabrax,clathratus,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,-99999,-99999,Kelp Bass,HARD,MOBILE,SOLITARY
2003,9,9/3/03,ABUR,1,-99999,-99999,SATR,20,1,80,4,2,S,-99999,Sebastes,atrovirens,FISH,FISH,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,-99999,-99999,Kelp Rockfish,HARD,MOBILE,SOLITARY
2003,5,5/12/03,ABUR,1,-99999,-99999,SYNG,9,1,80,4,2,S,-99999,Syngnathus,spp.,FISH,FISH,Animalia,Chordata,Actinopterygii,Gasterosteiformes,Syngnathidae,-99999,-99999,Unidentified Pipefish Spp.,HARD,MOBILE,SOLITARY
2003,9,9/3/03,ABUR,1,-99999,-99999,SYNG,12,1,80,4,2,S,-99999,Syngnathus,spp.,FISH,FISH,Animalia,Chordata,Actinopterygii,Gasterosteiformes,Syngnathidae,-99999,-99999,Unidentified Pipefish Spp.,HARD,MOBILE,SOLITARY
2004,2,2/6/04,ABUR,1,-99999,-99999,-9999,-99999,-99999,80,-99999,2,S,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
2004,5,5/19/04,ABUR,1,-99999,-99999,-9999,-99999,-99999,80,1,2,S,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
2004,6,6/16/04,ABUR,1,-99999,-99999,-9999,-99999,-99999,80,1,2,S,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
2004,7,7/16/04,ABUR,1,-99999,-99999,-9999,-99999,-99999,80,1,2,S,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
2004,7,7/22/04,ABUR,1,-99999,-99999,BFRE,8,1,80,3,28,A,-99999,Brachyistius,frenatus,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,-99999,-99999,Kelp Surfperch,HARD,MOBILE,SOLITARY
2004,7,7/22/04,ABUR,1,-99999,-99999,BFRE,10,2,80,3,28,A,-99999,Brachyistius,frenatus,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,-99999,-99999,Kelp Surfperch,HARD,MOBILE,SOLITARY
2004,8,8/5/04,ABUR,1,-99999,-99999,BFRE,4,1,80,3,2,S,-99999,Brachyistius,frenatus,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,-99999,-99999,Kelp Surfperch,HARD,MOBILE,SOLITARY
2004,9,9/7/04,ABUR,1,-99999,-99999,BFRE,7,1,80,2.5,36,S,-99999,Brachyistius,frenatus,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,-99999,-99999,Kelp Surfperch,HARD,MOBILE,SOLITARY
2004,9,9/7/04,ABUR,1,-99999,-99999,BFRE,8,1,80,2.5,36,S,-99999,Brachyistius,frenatus,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,-99999,-99999,Kelp Surfperch,HARD,MOBILE,SOLITARY
2004,10,10/7/04,ABUR,1,-99999,-99999,BFRE,6,1,80,4,2,S,-99999,Brachyistius,frenatus,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,-99999,-99999,Kelp Surfperch,HARD,MOBILE,SOLITARY
2004,10,10/7/04,ABUR,1,-99999,-99999,BFRE,8,1,80,4,2,S,-99999,Brachyistius,frenatus,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,-99999,-99999,Kelp Surfperch,HARD,MOBILE,SOLITARY
2004,11,11/10/04,ABUR,1,-99999,-99999,BFRE,7,1,80,3,2,S,-99999,Brachyistius,frenatus,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,-99999,-99999,Kelp Surfperch,HARD,MOBILE,SOLITARY
2004,12,12/3/04,ABUR,1,-99999,-99999,BFRE,8,1,80,3,2,S,-99999,Brachyistius,frenatus,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,-99999,-99999,Kelp Surfperch,HARD,MOBILE,SOLITARY
2004,7,7/22/04,ABUR,1,20,I,CNIC,7,1,20,-99999,2,A,-99999,Rhinogobiops,nicholsii,FISH,CRYPTIC FISH,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Coryphopterus,nicholsii,Blackeye Goby,HARD,MOBILE,SOLITARY
2004,7,7/22/04,ABUR,1,-99999,-99999,DVAC,14,1,80,3,28,A,-99999,Rhacochilus,vacca,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Damalichthys,vacca,Pile Surfperch,HARD,MOBILE,SOLITARY
2004,9,9/7/04,ABUR,1,-99999,-99999,DVAC,15,1,80,2.5,36,S,-99999,Rhacochilus,vacca,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Damalichthys,vacca,Pile Surfperch,HARD,MOBILE,SOLITARY
2004,9,9/7/04,ABUR,1,-99999,-99999,DVAC,16,1,80,2.5,36,S,-99999,Rhacochilus,vacca,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Damalichthys,vacca,Pile Surfperch,HARD,MOBILE,SOLITARY
2004,11,11/10/04,ABUR,1,-99999,-99999,DVAC,11,1,80,3,2,S,-99999,Rhacochilus,vacca,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Damalichthys,vacca,Pile Surfperch,HARD,MOBILE,SOLITARY
2004,8,8/5/04,ABUR,1,-99999,-99999,EJAC,5,1,80,3,2,S,-99999,Embiotoca,jacksoni,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,-99999,-99999,Black Surfperch,HARD,MOBILE,SOLITARY
2004,8,8/5/04,ABUR,1,-99999,-99999,EJAC,5.5,1,80,3,2,S,-99999,Embiotoca,jacksoni,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,-99999,-99999,Black Surfperch,HARD,MOBILE,SOLITARY
2004,8,8/5/04,ABUR,1,-99999,-99999,EJAC,6,1,80,3,2,S,-99999,Embiotoca,jacksoni,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,-99999,-99999,Black Surfperch,HARD,MOBILE,SOLITARY
2004,8,8/5/04,ABUR,1,-99999,-99999,EJAC,10,1,80,3,2,S,-99999,Embiotoca,jacksoni,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,-99999,-99999,Black Surfperch,HARD,MOBILE,SOLITARY
2004,8,8/5/04,ABUR,1,-99999,-99999,EJAC,15,1,80,3,2,S,-99999,Embiotoca,jacksoni,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,-99999,-99999,Black Surfperch,HARD,MOBILE,SOLITARY
2004,10,10/7/04,ABUR,1,-99999,-99999,EJAC,12,1,80,4,2,S,-99999,Embiotoca,jacksoni,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,-99999,-99999,Black Surfperch,HARD,MOBILE,SOLITARY
2004,8,8/5/04,ABUR,1,-99999,-99999,ELAT,10,1,80,3,2,S,-99999,Embiotoca,lateralis,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,-99999,-99999,Striped Surfperch,HARD,MOBILE,SOLITARY
2004,9,9/7/04,ABUR,1,-99999,-99999,ELAT,14,1,80,2.5,36,S,-99999,Embiotoca,lateralis,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,-99999,-99999,Striped Surfperch,HARD,MOBILE,SOLITARY
2004,9,9/7/04,ABUR,1,-99999,-99999,ELAT,15,1,80,2.5,36,S,-99999,Embiotoca,lateralis,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,-99999,-99999,Striped Surfperch,HARD,MOBILE,SOLITARY
2004,10,10/7/04,ABUR,1,-99999,-99999,ELAT,10,1,80,4,2,S,-99999,Embiotoca,lateralis,FISH,FISH,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,-99999,-99999,Striped Surfperch,HARD,MOBILE,SOLITARY
